Country,Density,Area,Population
Netherlands,393,41526," 1,69,28,800 "
Belgium,337,30510," 1,10,07,020 "
United Kingdom,256,243610," 6,22,62,000 "
Germany,233,357021," 8,17,99,600 "
Liechtenstein,205,160," 32,842 "
Italy,192,301230," 5,97,15,625 "
Switzerland,117,41290," 73,01,994 "
Luxembourg,173,2586," 5,12,000 "
France,111,547030," 6,36,01,002 "
Austria,97,83858," 81,69,929 "
Greece,81,131940," 1,16,06,813 "
Ireland,65,70280," 45,81,269 "
Sweden,20,449964," 95,15,744 "
Finland,16,338424," 54,10,233 "
Norway,13,855252," 50,33,675 "
